,,,,Leaf 1,,,Leaf 2,,,Leaf 3,,,Leaf 4,,,Leaf 5,,,Leaf 6,,,Leaf 7,,,Leaf 8,,,Leaf 9,,,Leaf 10,,,Leaf 11,,,Leaf 12,,,Leaf 13,,,Leaf 14,,,Leaf 15,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant name,Accuracy reconstruction,Topology skeleton,Error skeleton,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-295-JS66-95_2018-04-11_12-39-06_9970200,0.806657,TRUE,0.0887557,-0.378669,47.5355,-164.851,-0.355186,51.3847,23.7261,-0.337573,43.5154,-172.599,-0.306262,41.4767,8.52013,-0.263209,30.1685,-170.364,-0.188845,20.356,-18.3755,-0.175147,11.9253,109.006,-0.0675147,21.2966,-162.316,-0.0636008,19.9324,-59.1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-295-JS66-95_2018-04-13_12-38-58_10083200,0.826977,TRUE,0.0967849,-0.380626,50.1844,95.5228,-0.353229,49.3907,-61.7109,-0.335616,48.2824,99.2554,-0.306262,41.1136,-72.4016,-0.278865,42.1056,102.924,-0.19863,19.9115,-103.627,-0.118395,28.9033,109.729,0.00293541,21.5065,-138.251,0.00293541,20.5385,120.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-295-JS66-95_2018-04-16_12-39-00_10270200,0.831797,FALSE,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-296-JS214-336_2018-04-11_12-41-20_9970300,0.780696,FALSE,0.162474,-0.396282,46.4816,156.323,-0.3591,35.1919,-3.87096,-0.316047,34.1707,176.3,-0.302348,27.2877,-13.9213,-0.220157,8.17005,-158.571,-0.2182,22.9882,179.687,-0.120352,38.776,137.311,-0.120352,33.222,53.7666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-296-JS214-336_2018-04-13_12-41-11_10083300,0.738389,TRUE,0.099881,-0.40998,42.1831,-96.8454,-0.3591,37.4768,106.04,-0.316047,34.357,-71.0322,-0.300391,29.2852,113.19,-0.24364,25.4294,-64.6995,-0.186888,7.68528,170.028,-0.100783,39.2486,-157.604,-0.0949119,23.2718,-111.07,-0.092955,34.2708,-75.6289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-296-JS214-336_2018-04-16_12-41-14_10270300,0.674632,TRUE,0.124647,-0.425636,40.1141,-120.589,-0.357143,41.3114,90.2948,-0.327789,33.3309,-110.062,-0.31409,38.9709,58.6847,-0.274951,26.2255,-93.6978,-0.222113,21.4738,94.2895,-0.0812133,26.6489,158.566,-0.0812133,34.6454,-115.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-297-JS3-11_2018-04-11_12-43-34_9970400,0.851121,TRUE,0.0299355,-0.374755,45.6587,-40.4709,-0.355186,37.6945,159.783,-0.319961,34.9012,-40.7369,-0.28865,25.3365,160.24,-0.233855,24.8584,-35.198,-0.15362,15.5106,158.959,-0.15362,15.0135,14.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-297-JS3-11_2018-04-13_12-43-25_10083400,0.776882,TRUE,0.0731699,-0.380626,47.9364,-27.4464,-0.3591,37.6594,-165.571,-0.319961,36.8484,-8.4322,-0.290607,29.2424,-164.519,-0.249511,26.4378,3.39004,-0.175147,18.0555,-170.821,-0.175147,13.9263,36.1395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-297-JS3-11_2018-04-16_12-43-27_10270400,0.794529,TRUE,0.112554,-0.388454,45.8325,-70.1624,-0.357143,41.5209,163.589,-0.321918,36.3027,-44.6372,-0.296477,33.0951,160.013,-0.26908,29.4542,-37.5879,-0.235812,22.5585,149.657,-0.130137,17.2779,-26.2886,-0.126223,10.1178,140.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-298-JS238-379_2018-04-11_12-45-46_9970500,0.797053,TRUE,0.0224836,-0.42955,63.3632,-17.465,-0.40411,42.8744,170.57,-0.380626,41.8807,0.6233,-0.341487,29.0779,176.176,-0.251468,19.7733,2.85538,-0.17319,24.2833,157.596,-0.17319,20.0508,33.3526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-298-JS238-379_2018-04-13_12-45-39_10083500,0.804059,TRUE,0.0562771,-0.433464,67.1834,-18.8197,-0.408023,42.3376,-174.602,-0.380626,47.0278,5.32068,-0.343444,28.9632,-171.871,-0.255382,23.176,3.58493,-0.206458,18.2273,0.837842,-0.159491,18.9811,167.725,-0.159491,16.1651,149.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-298-JS238-379_2018-04-16_12-45-41_10270500,0.817549,TRUE,0.131582,-0.437378,61.9763,124.876,-0.408023,43.8447,-14.9975,-0.382583,45.7302,157.442,-0.345401,31.0945,-35.2566,-0.274951,22.9963,150.631,-0.216243,15.6748,-47.6732,-0.171233,12.8048,-42.0563,-0.157534,18.5894,161.158,-0.157534,8.85778,144.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-299-js294-413_2018-04-11_12-48-00_9970600,0.804183,TRUE,0.0278822,-0.42955,26.0591,-14.8941,-0.396282,23.6476,-132.176,-0.353229,21.9645,-9.90804,-0.296477,17.8798,173.616,-0.257339,18.4774,-4.8403,-0.17319,15.5917,157.966,-0.17319,21.3473,-1.62921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
